SACC code(a),Country of citizenship(a),2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00
8302,Costa Rica,60.0,90.0,90.0,90.0,70.0,70.0,60.0,100.0,60.0,40.0,30.0,50.0,60.0,110.0,60.0,140.0,90.0,60.0,70.0,70.0,50.0,60.0,50.0,60.0,70.0,60.0,50.0,190.0,90.0,90.0,90.0,120.0,100.0,50.0,60.0,40.0,60.0,80.0,120.0,100.0,100.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
8303,El Salvador,40.0,30.0,30.0,40.0,40.0,40.0,50.0,30.0,40.0,40.0,40.0,40.0,20.0,40.0,30.0,80.0,30.0,60.0,40.0,40.0,30.0,30.0,30.0,40.0,50.0,40.0,50.0,50.0,60.0,50.0,60.0,50.0,30.0,30.0,30.0,80.0,60.0,60.0,50.0,50.0,50.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
8304,Guatemala,30.0,20.0,40.0,50.0,40.0,50.0,40.0,40.0,20.0,20.0,40.0,60.0,30.0,40.0,50.0,60.0,60.0,30.0,30.0,40.0,30.0,30.0,30.0,40.0,40.0,50.0,40.0,50.0,70.0,40.0,40.0,50.0,30.0,40.0,50.0,30.0,60.0,50.0,40.0,80.0,50.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,0.0,0.0,10.0,0.0,0.0
8305,Honduras,20.0,20.0,10.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,30.0,30.0,80.0,20.0,20.0,20.0,30.0,30.0,10.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,20.0,10.0,30.0,30.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
8306,Mexico,980.0,840.0,860.0,1560.0,1170.0,1190.0,870.0,1120.0,680.0,830.0,1550.0,940.0,1170.0,980.0,1060.0,1900.0,1420.0,1320.0,1160.0,1190.0,760.0,840.0,1490.0,740.0,1270.0,1120.0,1360.0,2160.0,1760.0,1340.0,1130.0,1550.0,980.0,1190.0,1610.0,1000.0,1270.0,1210.0,1340.0,2030.0,1860.0,1370.0,660.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10,10.0,20.0,10.0,30.0,20.0,40.0,30.0
8307,Nicaragua,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8308,Panama,20.0,10.0,20.0,30.0,30.0,40.0,20.0,20.0,10.0,10.0,20.0,20.0,10.0,20.0,40.0,30.0,40.0,40.0,30.0,30.0,20.0,50.0,20.0,20.0,20.0,20.0,30.0,40.0,40.0,60.0,40.0,30.0,20.0,30.0,30.0,40.0,30.0,20.0,40.0,40.0,40.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8401,Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8402,Antigua and Barbuda,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8403,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
